pnoise_Fssb_dB (LO_fLO=5.8e+09) X,pnoise_Fssb_dB (LO_fLO=5.8e+09) Y
10000000,7.704821690665192
12589254.11794167,7.650832769564771
15848931.92461114,7.590771908086142
19952623.1496888,7.52046022023269
25118864.3150958,7.435709712564389
31622776.6016838,7.332053088419269
39810717.05534974,7.204680959578043
50118723.36272725,7.048235206560232
63095734.44801936,6.857172017376944
79432823.47242819,6.626346591712791
100000000.0000001,6.352584577130076
125892541.1794168,6.037207761916649
158489319.2461115,5.687903753977743
199526231.4968881,5.323504865752927
251188643.1509582,4.97086583093301
316227766.0168382,4.659991415011246
398107170.5534976,4.410988095837038
501187233.6272728,4.226144137457124
630957344.480194,4.099114931945664
794328234.7242825,4.026166506050913
1000000000.000001,4.015643137304929
1258925411.794169,4.089801501786442
1584893192.461116,4.288130167847099
1995262314.968883,4.695626992309778
2511886431.509584,5.54083148549269
3162277660.168385,7.772898103098337
4000000000,12.43240658370344
