pnoise_Fssb_dB (LO_fLO=6e+09) X,pnoise_Fssb_dB (LO_fLO=6e+09) Y
10000000,7.502311723132129
12589254.11794167,7.458692835614159
15848931.92461114,7.407026761190789
19952623.1496888,7.344253525008209
25118864.3150958,7.267002575853444
31622776.6016838,7.171459882344829
39810717.05534974,7.053329348265827
50118723.36272725,6.907583047214917
63095734.44801936,6.729105551545318
79432823.47242819,6.513113645234339
100000000.0000001,6.256581447811675
125892541.1794168,5.960483000900765
158489319.2461115,5.631558864019327
199526231.4968881,5.286604469030313
251188643.1509582,4.950752864792457
316227766.0168382,4.652569099689348
398107170.5534976,4.412698945487151
501187233.6272728,4.238029296569302
630957344.480194,4.126118653593152
794328234.7242825,4.075892261177223
1000000000.000001,4.096425073057698
1258925411.794169,4.211082716741183
1584893192.461116,4.466783618724254
1995262314.968883,4.97122684894924
2511886431.509584,6.032128834486824
3162277660.168385,8.822006026647745
4000000000,13.09438173222951
