pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
10000000,1.868180604442036
12589254.11794167,1.866362238636725
15848931.92461114,1.865159086071144
19952623.1496888,1.864318842177465
25118864.3150958,1.86366498407866
31622776.6016838,1.863059314352102
39810717.05534974,1.862373363237914
50118723.36272725,1.861463652354552
63095734.44801936,1.860162097958097
79432823.47242819,1.858267712149514
100000000.0000001,1.855429343641847
125892541.1794168,1.851235097104719
158489319.2461115,1.845429478526974
199526231.4968881,1.837601437368666
251188643.1509582,1.827873681331027
316227766.0168382,1.8171442366519
398107170.5534976,1.806485188509465
501187233.6272728,1.797906515698839
630957344.480194,1.793756616851536
794328234.7242825,1.797373611462016
1000000000.000001,1.813931807812327
1258925411.794169,1.85251391551634
1584893192.461116,1.934023373254164
2000000000,2.121309499872601
