pnoise_Fssb_dB (LO_fLO=6.2e+09) X,pnoise_Fssb_dB (LO_fLO=6.2e+09) Y
10000000,7.424429159344646
12589254.11794167,7.396421584615725
15848931.92461114,7.362771966199504
19952623.1496888,7.321533051827553
25118864.3150958,7.270505160069979
31622776.6016838,7.207164471243415
39810717.05534974,7.128327156897138
50118723.36272725,7.030376765376584
63095734.44801936,6.909051532868071
79432823.47242819,6.759896260110681
100000000.0000001,6.578500998137812
125892541.1794168,6.360804995947241
158489319.2461115,6.10559042442731
199526231.4968881,5.816468142547038
251188643.1509582,5.502327687059481
316227766.0168382,5.179719864206419
398107170.5534976,4.87096664915653
501187233.6272728,4.599764417682774
630957344.480194,4.390353856884145
794328234.7242825,4.266003265199144
1000000000.000001,4.252104110848485
1258925411.794169,4.378098352379684
1584893192.461116,4.691240608505051
1995262314.968883,5.314388127864581
2511886431.509584,6.689376692741027
3162277660.168385,9.973376770611761
4000000000,13.65225317466771
