pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
10000000,2.043596423771681
12589254.11794167,2.035338817760238
15848931.92461114,2.029900358190094
19952623.1496888,2.026155005319617
25118864.3150958,2.023333859332659
31622776.6016838,2.020863170958
39810717.05534974,2.018316395748688
50118723.36272725,2.015143478289904
63095734.44801936,2.010728236964422
79432823.47242819,2.004297088747226
100000000.0000001,1.994894239521816
125892541.1794168,1.981581648257592
158489319.2461115,1.963187287427399
199526231.4968881,1.93955710152682
251188643.1509582,1.911146358886506
316227766.0168382,1.880032493824351
398107170.5534976,1.849152797052666
501187233.6272728,1.821163188714827
630957344.480194,1.798972551133911
794328234.7242825,1.785585912324909
1000000000.000001,1.785114057257113
1258925411.794169,1.804123468964431
1584893192.461116,1.855117519255935
2000000000,1.973394902321429
