NF X,NF Y
0,0.5711449685372917
0.01,0.5727557164810945
0.02,0.5750422776576376
0.03,0.5781741349573313
0.04,0.582359311906916
0.05,0.5878503962187019
0.06,0.5949455415371013
0.07000000000000001,0.6039916483156212
0.08,0.6154087132796118
0.09,0.6296605457881023
0.1,0.647256078455678
0.11,0.6687339246932679
0.12,0.6946377462150927
0.13,0.7254806440106141
0.14,0.761696339515298
0.15,0.8035737735204196
0.16,0.8511698516737977
0.17,0.9041932157695597
0.18,0.9618525656514444
0.19,1.022671223853213
0.2,1.084293128441093
0.21,1.143351261678394
0.22,1.195530885465856
0.23,1.235992932460014
0.24,1.260239562853601
0.25,1.265246002310356
0.26,1.250377071128723
0.27,1.217573822152802
0.28,1.170692981931524
0.29,1.114390214426253
0.3,1.05309882111563
0.31,0.9904240477491555
0.32,0.9289611179021138
0.33,0.8703804043825775
0.34,0.8156271910646784
0.35,0.7651298246366884
0.36,0.7189743238846674
0.37,0.6770349113316476
0.38,0.6390650277764585
0.39,0.6047578640346001
0.4,0.573785106195426
0.41,0.5458207812419764
0.42,0.5205551892425987
0.43,0.4977023661484394
0.44,0.4770033967978446
0.45,0.4582271206652612
0.46,0.4411692502531084
0.47,0.4256505745521517
0.48,0.4115146893591734
0.49,0.3986255424438781
0.5,0.3868649782422574
0.51,0.3761303967958377
0.52,0.3663325940308596
0.53,0.357393818006389
0.54,0.3492460537485393
0.55,0.341829534596691
0.5600000000000001,0.335091468561923
0.57,0.3289849630213271
0.58,0.32346812581693
0.59,0.3185033127765922
0.6,0.3140565220754422
0.61,0.3100968968003761
0.62,0.3065963189807367
0.63,0.3035290816371077
0.64,0.3008716234409095
0.65,0.2986023135847196
0.66,0.2967012766475234
0.67,0.2951502491826854
0.68,0.2939324614444567
0.6899999999999999,0.2930325391026432
0.7,0.2924364209591521
0.71,0.292131289594354
0.72,0.2921055125406414
0.73,0.2923485920269089
0.74,0.2928511215730378
0.75,0.2936047477511717
0.76,0.2946021352837935
0.77,0.2958369333290454
0.78,0.2973037403424367
0.79,0.2989980643262651
0.8,0.3009162746677249
0.8100000000000001,0.3030556840821015
0.82,0.3054216187348531
0.83,0.3080049800037783
0.84,0.3108047759275047
0.85,0.3138203561614744
0.86,0.3170512293031447
0.87,0.320496856193438
0.88,0.3241564274878426
0.89,0.3280286383426938
0.9,0.3321114769326806
0.91,0.3364020456955921
0.92,0.3408964337802338
0.93,0.3455896556761392
0.9399999999999999,0.3504756646127369
0.95,0.3555474409991221
0.96,0.3607971474453148
0.97,0.3662163344716045
0.98,0.371796176250639
0.99,0.3775277143352943
1,0.3834020891833355
