NF X,NF Y
0,0.6443938713699758
0.01,0.6427962178458851
0.02,0.6412608551379635
0.03,0.6397998479869331
0.04,0.6384297813931825
0.05,0.6371731526672861
0.06,0.6360568379093998
0.07000000000000001,0.6351156403276653
0.08,0.6344110287592686
0.09,0.6340120625354385
0.1,0.6340084205955497
0.11,0.6345155461636269
0.12,0.635680566374648
0.13,0.6376887846318122
0.14,0.6407702646139004
0.15,0.6452056337029471
0.16,0.6513297068287743
0.17,0.6595309192241029
0.18,0.6702439915630178
0.19,0.6839329770052672
0.2,0.701062177005798
0.21,0.7220536142428549
0.22,0.7472317350517383
0.23,0.7767580890972596
0.24,0.8105596163966764
0.25,0.8482527067705623
0.26,0.8890620028748522
0.27,0.9317323348008941
0.28,0.9744423962405133
0.29,1.014756946436437
0.3,1.049695749817286
0.31,1.076015330086119
0.32,1.090758392560319
0.33,1.091959029568609
0.34,1.07921950578524
0.35,1.053845810454175
0.36,1.01845246807843
0.37,0.976252420596186
0.38,0.9303701911520361
0.39,0.8834014206520873
0.4,0.8372514110848955
0.41,0.7931689510034328
0.42,0.7518723223244772
0.43,0.7136945068313988
0.44,0.6787108651622589
0.45,0.6468374299667785
0.46,0.6179005723395521
0.47,0.5916834605728907
0.48,0.5679554113893306
0.49,0.5464893621751336
0.5,0.5270714527444854
0.51,0.5095055697955296
0.52,0.4936148114361145
0.53,0.4792411718620427
0.54,0.4662442838733534
0.55,0.4544997408417742
0.5600000000000001,0.4438973088446903
0.57,0.4343392027146301
0.58,0.4257385115442968
0.59,0.4180178005554722
0.6,0.4111079091076363
0.61,0.4049469178691327
0.62,0.399479266671208
0.63,0.3946550037149379
0.64,0.3904291443771696
0.65,0.386761121052853
0.66,0.383614308381063
0.67,0.3809556110344583
0.68,0.3787551037761571
0.6899999999999999,0.3769857156125447
0.7,0.3756229515890459
0.71,0.3746446471261015
0.72,0.3740307508297998
0.73,0.3737631324951221
0.74,0.3738254136044042
0.75,0.3742028180504853
0.76,0.3748820411245372
0.77,0.3758511350213572
0.78,0.3770994092552893
0.79,0.3786173444552264
0.8,0.3803965180263553
0.8100000000000001,0.3824295401321183
0.82,0.3847099983652592
0.83,0.3872324093437857
0.84,0.3899921752864743
0.85,0.3929855434077036
0.86,0.3962095657277722
0.87,0.3996620566550997
0.88,0.4033415454845057
0.89,0.4072498291812499
0.9,0.4113942756763246
0.91,0.4157649860759938
0.92,0.4203626709361325
0.93,0.4251883445787324
0.9399999999999999,0.4302431933091456
0.95,0.4355284274302034
0.96,0.4410451204359508
0.97,0.4467940408706556
0.98,0.4527754843897039
0.99,0.4589891152471028
1,0.4654338274539229
