/M0/D (Vds=1.1) X,/M0/D (Vds=1.1) Y
0,1.76449558642829e-07
0.01,2.263786332652566e-07
0.02,2.902858834402999e-07
0.03,3.720104696123498e-07
0.04,4.764124393634367e-07
0.05,6.096291786055532e-07
0.06,7.793876844565015e-07
0.07000000000000001,9.953632693532814e-07
0.08,1.269661925401444e-06
0.09,1.617365323936868e-06
0.09999999999999999,2.057171369105582e-06
0.11,2.612144855464642e-06
0.12,3.310578116087494e-06
0.13,4.186960227251481e-06
0.14,5.283045650436913e-06
0.15,6.649003287405782e-06
0.16,8.344615106165935e-06
0.17,1.044048057187001e-05
0.18,1.3019170507608e-05
0.19,1.617626376618138e-05
0.2,2.002119474563794e-05
0.21,2.467784196231658e-05
0.2200000000000001,3.028479972926851e-05
0.2300000000000001,3.699529731605525e-05
0.2400000000000001,4.497676159936637e-05
0.2500000000000001,5.441005649191513e-05
0.2600000000000001,6.548846937618358e-05
0.2700000000000001,7.841654397657084e-05
0.2800000000000001,9.340887337668645e-05
0.2900000000000001,0.0001106889611350207
0.3000000000000001,0.0001304882313297756
0.3100000000000001,0.0001530452230549096
0.3200000000000001,0.0001786049486722923
0.3300000000000001,0.000207418337828759
0.3400000000000001,0.000239741641085742
0.3500000000000001,0.0002758356364713659
0.3600000000000002,0.0003159644746380412
0.3700000000000002,0.0003603940151093455
0.3800000000000002,0.0004093895453236086
0.3900000000000002,0.000463212831065866
0.4000000000000002,0.0005221185148366284
0.4100000000000002,0.0005863499501919225
0.4200000000000002,0.0006561346273508035
0.4300000000000002,0.0007316794011069039
0.4400000000000002,0.000813165770119932
0.4500000000000002,0.0009007454726058738
0.4600000000000002,0.0009945366552713099
0.4700000000000003,0.001094620840776708
0.4800000000000003,0.00120104086754897
0.4900000000000003,0.001313799910201998
0.5000000000000002,0.001432861616461453
0.5100000000000002,0.001558151325029537
0.5200000000000002,0.001689558265270111
0.5300000000000002,0.001826938589330729
0.5400000000000003,0.001970119053564894
0.5500000000000003,0.002118901149790385
0.5600000000000003,0.00227306548687786
0.5700000000000003,0.002432376236733166
0.5800000000000003,0.002596585482343612
0.5900000000000003,0.002765437335360221
0.6000000000000003,0.002938671723086879
0.6100000000000003,0.003116027776735181
0.6200000000000003,0.003297246782142676
0.6300000000000003,0.003482074679400155
0.6400000000000003,0.003670264118270898
0.6500000000000004,0.003861576091774416
0.6600000000000004,0.004055781181135902
0.6700000000000004,0.004252660452027026
0.6800000000000004,0.004452006045334837
0.6900000000000004,0.004653621506322775
0.7000000000000004,0.004857321894683614
0.7100000000000004,0.005062933715242749
0.7200000000000004,0.005270294705468203
0.7300000000000004,0.005479253511891062
0.7400000000000004,0.005689669283350356
0.7500000000000004,0.005901411204873106
0.7600000000000005,0.006114357992136887
0.7700000000000005,0.006328397362929944
0.7800000000000005,0.006543425498872678
0.7900000000000005,0.00675934650790787
0.8000000000000005,0.006976071895699637
0.8100000000000005,0.007193520052078
0.8200000000000005,0.00741161575699767
0.8300000000000005,0.007630289709108778
0.8400000000000005,0.007849478078927148
0.8500000000000005,0.008069122087706486
0.8600000000000005,0.008289167612419851
0.8700000000000006,0.008509564816721988
0.8800000000000006,0.008730267807361754
0.8900000000000006,0.008951234315217759
0.9000000000000006,0.009172425399923495
0.9100000000000006,0.009393805176909752
0.9200000000000006,0.009615340565610244
0.9300000000000006,0.009837001057535934
0.9400000000000006,0.01005875850291724
0.9500000000000006,0.01028058691463131
0.9600000000000006,0.01050246228816691
0.9700000000000006,0.010724362436429
0.9800000000000006,0.0109462668382418
0.9900000000000007,0.01116815649947212
1,0.01139001382576023
