NF dB10 (L_stg2_Sec=5e-09) X,NF dB10 (L_stg2_Sec=5e-09) Y
4000000000,12.98859324744461
4100000000,12.18598593073261
4200000000,11.39274642143092
4300000000,10.61107645845216
4400000000,9.843703197259627
4500000000,9.093890131679572
4600000000,8.365413667451904
4700000000,7.662491155240958
4800000000,6.989647425656614
4900000000,6.35151231366435
5000000000,5.752552365249657
5100000000,5.19675534118516
5200000000,4.687303169878629
5300000000,4.226282020907551
5400000000,3.81448078041316
5500000000,3.451317534454235
5600000000,3.134909338723052
5700000000,2.862271025539963
5800000000,2.629604094859609
5900000000,2.432624491377905
6000000000,2.266880163783709
6100000000,2.128022031020303
6200000000,2.012008983745041
6300000000,1.915243118178267
6400000000,1.834642324602509
6500000000,1.767663002921353
6600000000,1.712287062824027
6700000000,1.666986068537633
6800000000,1.630672845417863
6900000000,1.602648075944221
7000000000,1.582546924863135
7100000000,1.570288762463757
7200000000,1.566031615798803
7300000000,1.570131989063288
7400000000,1.583110045993577
7500000000,1.605619734771952
7600000000,1.638423176683577
7700000000,1.682368475980505
7800000000,1.738370006027651
7900000000,1.8073901718771
8000000000,1.89042164312374
8100000000,1.988469104835695
8200000000,2.102529704620845
8300000000,2.233571594941238
8400000000,2.382510287730966
8500000000,2.55018294452662
8600000000,2.737321191365409
8700000000,2.944523524335912
8800000000,3.172228792166428
8900000000,3.420692532065473
9000000000,3.689968026964379
9100000000,3.979893802986446
9200000000,4.290088891124345
9300000000,4.619956577676413
9400000000,4.968696646207079
9500000000,5.335325377140885
9600000000,5.718701929460623
9700000000,6.117559270767826
9800000000,6.530537597462299
9900000000,6.956218201243523
10000000000,7.393155957041734
