S21 dB20 (L_stg2_Sec=5e-09) X,S21 dB20 (L_stg2_Sec=5e-09) Y
4000000000,-3.111105814725945
4100000000,-1.731564687010659
4200000000,-0.3168879811225669
4300000000,1.136147293154129
4400000000,2.630723226258136
4500000000,4.169873473470151
4600000000,5.75630666812208
4700000000,7.392124804082987
4800000000,9.078382556441252
4900000000,10.81440773677649
5000000000,12.59676867502679
5100000000,14.41773498747988
5200000000,16.26305232121685
5300000000,18.10889679018588
5400000000,19.91813730078454
5500000000,21.63680778722414
5600000000,23.19331919300866
5700000000,24.50502588320654
5800000000,25.49639033893783
5900000000,26.12530065825496
6000000000,26.40187823587966
6100000000,26.38440108864909
6200000000,26.15599280005317
6300000000,25.79992490869554
6400000000,25.38546453989596
6500000000,24.96423734488848
6600000000,24.57222230267245
6700000000,24.23344097772399
6800000000,23.96345500982265
6900000000,23.77208722251309
7000000000,23.66533668375347
7100000000,23.64661800452849
7200000000,23.7174512480839
7300000000,23.87765992825948
7400000000,24.12502338422389
7500000000,24.4541558001351
7600000000,24.854099305104
7700000000,25.30368934200511
7800000000,25.76336236283781
7900000000,26.16285144501907
8000000000,26.38958073263973
8100000000,26.29626235002862
8200000000,25.75364727012116
8300000000,24.73005833296544
8400000000,23.31293756257237
8500000000,21.6443022304633
8600000000,19.84946103045832
8700000000,18.01205930609228
8800000000,16.18040698889644
8900000000,14.38037213992295
9000000000,12.62513342076666
9100000000,10.92096473845554
9200000000,9.270372827310215
9300000000,7.673762037015321
9400000000,6.130332593607752
9500000000,4.638585213142044
9600000000,3.196619313228857
9700000000,1.802317977158609
9800000000,0.4534669526722645
9900000000,-0.8521672192415529
10000000000,-2.116785760211212
