pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
100000000,2.399221965287981
125892541.1794167,2.389991547664471
158489319.2461114,2.376972343385416
199526231.496888,2.360044580346043
251188643.1509581,2.339304783131901
316227766.016838,2.316164559972422
398107170.5534974,2.293166721508877
501187233.6272725,2.273279369584423
630957344.4801935,2.260223651931942
794328234.7242819,2.258786982034241
1000000000.000001,2.276677706846661
1258925411.794168,2.327158966623773
1584893192.461115,2.436530542307627
2000000000,2.673667763009048
