pac_vo_diff_Q_pcb_dB (fin1=7e+09) X,pac_vo_diff_Q_pcb_dB (fin1=7e+09) Y
100000000,55.2390604411756
200000000,56.73500494273319
300000000,57.73597234697446
400000000,58.21205172093247
500000000,58.24364243628555
600000000,57.96822390925208
700000000,57.51867009682567
800000000,56.99857699355842
900000000,56.48190634705539
1000000000,56.01623848491983
1100000000,55.63520237505041
1200000000,55.35943665306452
1300000000,55.19605684960436
1400000000,55.14342682170067
1500000000,55.1762579492726
1600000000,55.24205004544625
1700000000,55.23983661269858
1800000000,55.01828866802171
1900000000,54.40583800367047
2000000000,53.29265273999653
2100000000,51.70363081637274
2200000000,49.76836675520189
2300000000,47.62983640299154
2400000000,45.40175385416957
2500000000,43.16027467875679
2600000000,40.94912948102092
2700000000,38.79650515141488
2800000000,36.70340058209605
2900000000,34.6571142855271
3000000000,32.61273087417257
3100000000,30.49797874602809
3200000000,28.22659502741276
3300000000,25.72959532313492
3400000000,22.99344158443201
3500000000,20.07079463902762
3600000000,17.05101883833559
3700000000,14.01799179475749
3800000000,11.03314369068097
3900000000,8.133812587941032
4000000000,5.339409828230642
