ac_NF (fin1=7e+09) X,ac_NF (fin1=7e+09) Y
5000000000,6.512789074186937
5200000000,5.632922379897043
5400000000,4.954843738684816
5600000000,4.448313721633602
5800000000,4.081835535230997
6000000000,3.826441891603022
6200000000,3.658742262778435
6400000000,3.559378379621616
6600000000,3.514951314463624
6800000000,3.514999038863463
7000000000,3.553005945832377
7200000000,3.625117292623833
7400000000,3.730180682803993
7600000000,3.868695747837979
7800000000,4.043523400506328
8000000000,4.259104790892946
8200000000,4.522299523022883
8400000000,4.8427604699699
8600000000,5.232669470114845
8800000000,5.708678569056025
9000000000,6.291460298478636
