ac_vout_diff_lna_stg1_dB (fin1=7e+09) X,ac_vout_diff_lna_stg1_dB (fin1=7e+09) Y
4000000000,-2.03781679206485
4200000000,0.2856742235805171
4400000000,2.686570919447908
4600000000,5.167227874236925
4800000000,7.727129492862934
5000000000,10.35692965681552
5200000000,13.03998225887782
5400000000,15.75345503527267
5600000000,18.47039564481215
5800000000,21.1436845009197
6000000000,23.61947573631825
6200000000,25.43188086788174
6400000000,25.99929835116665
6600000000,25.57540650614481
6800000000,24.87795938569659
7000000000,24.26147639008487
7200000000,23.8206723116286
7400000000,23.55975582232056
7600000000,23.3866741080632
7800000000,22.98163307536443
8000000000,21.86389130599075
8200000000,20.13082352246884
8400000000,18.16225301421934
8600000000,16.03226578720158
8800000000,13.78629406430809
9000000000,11.49902196022392
9200000000,9.223435601584637
9400000000,6.987707901178164
9600000000,4.806050441671103
9800000000,2.682771489594455
10000000000,0.6205266855999994
