pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
100000000,55.11225716177319
200000000,56.60588592483693
300000000,57.60419147615126
400000000,58.07703401457964
500000000,58.1051733936271
600000000,57.82621615887375
700000000,57.37310271016553
800000000,56.84941148933631
900000000,56.32912978056225
1000000000,55.85984838536049
1100000000,55.47521580469131
1200000000,55.19589604146235
1300000000,55.02911564204757
1400000000,54.97318598910607
1500000000,55.00245473772203
1600000000,55.06435899891945
1700000000,55.05815391772067
1800000000,54.83251779503622
1900000000,54.21583478026282
2000000000,53.09822343678017
2100000000,51.50449817809837
2200000000,49.56431804553957
2300000000,47.42047748352232
2400000000,45.18647266116201
2500000000,42.93710583691143
2600000000,40.71897118450028
2700000000,38.55849086906113
2800000000,36.45599906480128
2900000000,34.39914000535192
3000000000,32.34326190329385
3100000000,30.21687364816031
3200000000,27.93543416071837
3300000000,25.4317454707193
3400000000,22.69316097721168
3500000000,19.77295440324137
3600000000,16.75464969086977
3700000000,13.7227830470426
3800000000,10.73799466133906
3900000000,7.837472089338396
4000000000,5.041360060742229
