pac_vo_diff_Q_pcb_dB (fin1=7e+09) X,pac_vo_diff_Q_pcb_dB (fin1=7e+09) Y
1000,4.239609981361601
1258.92541217804,3.618005602172576
1584.89319229126,2.869310923983738
1995.262314796448,2.033174958839933
2511.886431694031,1.167398552969142
3162.277660369873,0.3279813551981109
3981.071705818176,-0.4536501476984245
5011.872336387634,-1.187384198018877
6309.573444366455,-1.933937848631602
7943.282347679138,-2.818284021690258
10000,-4.075810668391033
12589.2541179657,-6.220481516629761
15848.93192481995,-10.82925141881798
19952.62314987183,-18.1220025881615
25118.86431503296,-4.681858723924658
31622.77660179138,2.840515747633005
39810.71705532074,8.506347982090697
50118.72336292267,13.39579335304575
63095.73444843292,17.87968550385851
79432.82347202301,22.11642576845011
100000,26.17529990750272
125892.541179657,30.07735938097255
158489.3192462921,33.81076276013655
199526.2314968109,37.33717572065602
251188.6431512833,40.59670111001998
316227.7660169601,43.5168128986399
398107.1705532074,46.02851314629619
501187.2336273193,48.08748021026563
630957.3444805145,49.69089328770777
794328.2347240448,50.87951506279214
1000000,51.72392241310966
1258925.411793709,52.30433115770077
1584893.192461014,52.69448148061851
1995262.314969063,52.95386556305046
2511886.431509972,53.1266124489368
3162277.660168648,53.24376420787929
3981071.705534935,53.3265577508955
5011872.336273193,53.38937927977757
6309573.444802284,53.44206774248728
7943282.347242355,53.49160410489921
10000000,53.54326266759926
12589254.11794186,53.60145395429999
15848931.92461109,53.6702575390159
19952623.14968872,53.75390007901657
25118864.3150959,53.85702073682783
31622776.60168362,53.98486893905115
39810717.05534935,54.14360846722816
50118723.36272717,54.34114993335098
63095734.44801903,54.58293754908841
79432823.47242832,54.87962941730146
100000000,55.2390650452859
125892541.1794167,55.6676805631233
158489319.2461119,56.16806453064073
199526231.4968882,56.72900562381046
251188643.150959,57.31386118537997
316227766.016839,57.84792963985264
398107170.5534983,58.20756277893399
501187233.6272736,58.24190444850147
630957344.480195,57.84213320393711
794328234.7242832,57.02853972752146
1000000000.000003,56.01624331066016
1258925411.79417,55.24944856206908
1584893192.461118,55.23352025467145
1995262314.968884,53.3568643964384
2511886431.509586,42.8948558315607
3162277660.168388,29.10696281440531
3981071705.534985,5.859855108711955
5011872336.272738,-17.42460593437452
6309573444.801952,-38.01161345221749
7943282347.24284,-57.14339324826395
10000000000,-73.86241559231733
