pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
10000000,1.910635117348551
12589254.11794167,1.90772737196377
15848931.92461114,1.905785565865049
19952623.1496888,1.904407349526634
25118864.3150958,1.903309281383493
31622776.6016838,1.902278160341365
39810717.05534974,1.901125567905766
50118723.36272725,1.899615321968716
63095734.44801936,1.897432089761154
79432823.47242819,1.894180956567293
100000000.0000001,1.889400274159382
125892541.1794168,1.882644226526405
158489319.2461115,1.87317088591807
199526231.4968881,1.860862260391086
251188643.1509582,1.845876311324936
316227766.0168382,1.829302371653099
398107170.5534976,1.813002914755781
501187233.6272728,1.799134733128484
630957344.480194,1.790224498004359
794328234.7242825,1.789327660019353
1000000000.000001,1.801051288560037
1258925411.794169,1.833397194389113
1584893192.461116,1.903659838706647
2000000000,2.063622164046647
