pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
10000000,57.12647899533365
110000000,56.88088285578594
210000000,56.70700363434034
310000000,56.62829534846115
410000000,56.63708981596983
510000000,56.70367844840196
610000000,56.77039165010331
710000000,56.73054022805648
810000000,56.42644803462137
910000000,55.68683628211639
1010000000,54.41142548282524
1110000000,52.63681691690284
1210000000,50.49726133445321
1310000000,48.13201417080797
1410000000,45.65088974267006
1510000000,43.12489664969745
1610000000,40.60187962644304
1710000000,38.1129505539057
1810000000,35.67921052647083
1910000000,33.31729754299469
2010000000,31.03587996626352
2110000000,28.84109530655883
2210000000,26.73832232522368
2310000000,24.72881191900321
2410000000,22.81571571108146
2510000000,20.99936872902913
2610000000,19.27640652550984
2710000000,17.63968985573431
2810000000,16.07116549115229
2910000000,14.54114610426978
3010000000,12.99551511443098
3110000000,11.3562286782015
3210000000,9.54183706865636
3310000000,7.483512848690756
3410000000,5.16272460838774
3510000000,2.651154691429204
3610000000,0.02694886983711047
3710000000,-2.623202903892822
3810000000,-5.241201550070724
3910000000,-7.788172809192528
4000000000,-10.00210846632257
