pac_vo_diff_Q_pcb_dB (fin1=7e+09) X,pac_vo_diff_Q_pcb_dB (fin1=7e+09) Y
10000000,51.33842441814011
110000000,53.44453243928595
210000000,55.2767605068384
310000000,56.7140071233673
410000000,57.64661587879998
510000000,58.05872456714934
610000000,58.04044726654065
710000000,57.73154023493176
810000000,57.26243155217486
910000000,56.73390294708835
1010000000,56.21691237591478
1110000000,55.75724393389183
1210000000,55.38727444513341
1310000000,55.12652213028881
1410000000,54.98135820652191
1510000000,54.94855435761428
1610000000,55.00031079078998
1710000000,55.08009079230185
1810000000,55.0827609466921
1910000000,54.8520921829269
2010000000,54.21921565156236
2110000000,53.08588920012519
2210000000,51.49041809720929
2310000000,49.56801740093287
2410000000,47.4592879956074
2510000000,45.27305449961131
2610000000,43.07688364401493
2710000000,40.91141434445689
2810000000,38.78912117136905
2910000000,36.69598109758529
3010000000,34.59291310608941
3110000000,32.40915078831956
3210000000,30.05967332443098
3310000000,27.48166142568588
3410000000,24.66911346119399
3510000000,21.6804374701252
3610000000,18.60631648876419
3710000000,15.53078432128272
3810000000,12.50877069955787
3910000000,9.578226977936005
4000000000,7.032367467207585
