pnoise_Fdsb_dB (fin1=7e+09) X,pnoise_Fdsb_dB (fin1=7e+09) Y
10000000,2.545015798609802
12589254.11794167,2.542265139737268
15848931.92461114,2.540519725372961
19952623.1496888,2.53941784918633
25118864.3150958,2.538732092637321
31622776.6016838,2.538321538644608
39810717.05534974,2.538101671774417
50118723.36272725,2.538026554869488
63095734.44801936,2.538103638490215
79432823.47242819,2.538476341362452
100000000.0000001,2.539131369838681
125892541.1794168,2.540127137820814
158489319.2461115,2.541913382953138
199526231.4968881,2.544702379901695
251188643.1509582,2.54956505034958
316227766.0168382,2.55798291559818
398107170.5534976,2.573462533164883
501187233.6272728,2.602778072713026
630957344.480194,2.661222157555307
794328234.7242825,2.779412054783492
1000000000.000001,2.993398388324843
1258925411.794169,3.350401832253964
1584893192.461116,4.057630648390438
1995262314.968883,5.83682340720326
2511886431.509584,10.48798844265077
3162277660.168385,19.05748358218757
4000000000,31.37754384578144
