"v (/voutm_I /voutp_I) h=-1,1; qpss mag(Vpeak) X","v (/voutm_I /voutp_I) h=-1,1; qpss mag(Vpeak) YRe","v (/voutm_I /voutp_I) h=-1,1; qpss mag(Vpeak) YReImag"
-50,-0.0007672493644901622,-0.003669027509590264
-40,-0.002427385596423999,-0.01159174759965276
-30,-0.007706023853960393,-0.03632126308212967
-20,-0.02390874788449662,-0.1058249757432033
-10,-0.02881395650956216,-0.2511461667327223
0,0.05433378943760199,-0.291594531480442
10,0.09519996134774991,-0.1733200531095329
20,-0.02851950306413816,-0.1798162450317513
