pnoise_Ndsb (Tdiff_R=0) X,pnoise_Ndsb (Tdiff_R=0) Y
1000000,9.434148295660878
1258925.411794167,9.221542074602954
1584893.192461114,9.044916812300603
1995262.31496888,8.899313296716876
2511886.431509581,8.780073874321257
3162277.66016838,8.682966067071963
3981071.705534974,8.604250651884263
5011872.336272725,8.540688535170306
6309573.444801935,8.489521571877914
7943282.347242818,8.448436240153175
10000000,8.415511612539305
12589254.11794168,8.389165376790137
15848931.92461114,8.368103578648094
19952623.14968881,8.351280685958757
25118864.31509582,8.337849648693922
31622776.60168381,8.327127951483423
39810717.05534975,8.318565760846996
50118723.36272726,8.311718279148916
63095734.44801937,8.306218363456852
79432823.47242822,8.301762535317739
100000000.0000001,8.298091059691995
125892541.1794168,8.294968745396728
158489319.2461115,8.292172513359962
199526231.4968882,8.289465520960592
251188643.1509583,8.286572469121591
316227766.0168384,8.283147436164104
398107170.5534979,8.278707953383595
501187233.6272731,8.272536238127152
630957344.4801943,8.263521414521145
794328234.7242829,8.249894132177154
1000000000.000002,8.228857607994149
1258925411.794169,8.195922454195625
1584893192.461116,8.143726607859003
1995262314.968883,8.059308847691128
2511886431.509585,7.917437800594907
3000000000,7.74038873370678
