pxf_gain_dB_Hm1 (Tdiff_R=0) X,pxf_gain_dB_Hm1 (Tdiff_R=0) Y
6000000000,9.547407433520004
6200000000,9.379108895623602
6400000000,9.189309230063696
6600000000,8.970404013710652
6800000000,8.726645068399268
7000000000,8.464336696742437
7200000000,8.189769203183619
7400000000,7.909296968714443
7600000000,7.62900552030333
7800000000,7.35406134839736
8000000000,7.08742535313717
