noise figure X,noise figure Y
1000000,12.87323439169106
1258925.411794167,12.54518861276278
1584893.192461114,12.26577221587931
1995262.31496888,12.03033320857436
2511886.431509581,11.83387380324086
3162277.66016838,11.67135532480202
3981071.705534974,11.53794974348323
5011872.336272725,11.42919581084995
6309573.444801935,11.34109651214153
7943282.347242818,11.27016751923982
10000000,11.21343301760559
12589254.11794168,11.16839602745788
15848931.92461114,11.13299883274324
19952623.14968881,11.10558861371236
25118864.31509582,11.08485686979397
31622776.60168381,11.06980129312013
39810717.05534975,11.05968910658785
50118723.36272726,11.05402691417383
63095734.44801937,11.0525342215364
79432823.47242822,11.05514268859504
100000000.0000001,11.06199253591829
125892541.1794168,11.07343965975822
158489319.2461115,11.09008623282365
199526231.4968882,11.1128075593215
251188643.1509583,11.14281205628994
316227766.0168384,11.1817215729736
398107170.5534979,11.23166058523381
501187233.6272731,11.29536025808329
630957344.4801943,11.37626523751735
794328234.7242829,11.47857881300488
1000000000.000002,11.60727950984977
1258925411.794169,11.76771959507584
1584893192.461116,11.96416762646978
1995262314.968883,12.19452610757845
2511886431.509585,12.43450277694893
3000000000,12.58384136953637
